name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Shigella dysenteriae	622	species	4560911	27500	3713	0.00648904
Shigella flexneri	623	species	4763519	86088	5975	0.0215635
Shigella sonnei	624	species	6798914	134161	8775	0.0281687
Xenorhabdus nematophila	628	species	4586662	7	4	0.0
Yersinia	629	genus	0	13	0	0.0
Yersinia enterocolitica	630	species	14308813	32	25	0.0
Yersinia intermedia	631	species	4859749	2	2	0.0
Yersinia pestis	632	species	7124135	234	165	0
Yersinia pseudotuberculosis	633	species	9565781	13	1	0.0
Edwardsiella	635	genus	0	191	0	0.0
Edwardsiella tarda	636	species	3717889	16	2	0.0
Vibrionaceae	641	family	0	20	0	0.0
Aeromonas	642	genus	0	118	0	0.0
Aeromonas hydrophila	644	species	7739252	74	1	0
Aeromonas salmonicida	645	species	5040536	2	1	0.0
Aeromonas media	651	species	4788430	3	2	0.0
Aeromonas schubertii	652	species	4400034	2	1	0.0
Aeromonas veronii	654	species	7214925	42	0	0
Vibrio	662	genus	0	99	0	0.0
Vibrio cholerae	666	species	6170861	89	22	0
Aliivibrio fischeri	668	species	4273718	2	0	0.0
Vibrio parahaemolyticus	670	species	10344823	3	1	0.0
Vibrio vulnificus	672	species	10215744	5	3	0.0
Grimontia hollisae	673	species	3998273	1	0	0.0
Vibrio mimicus	674	species	8922704	5	0	0.0
Vibrio campbellii	680	species	12090206	1	1	0.0
Vibrio natriegens	691	species	10692018	1	0	0.0
Plesiomonas shigelloides	703	species	3405979	2	2	0.0
Pasteurellaceae	712	family	0	35	0	0.0
Aggregatibacter actinomycetemcomitans	714	species	4378647	1	1	0.0
Actinobacillus suis	716	species	2501598	1	0	0.0
Haemophilus	724	genus	0	8	0	0.0
Haemophilus influenzae	727	species	2672708	3	2	0.0
Haemophilus parainfluenzae	729	species	2086875	3	1	0
[Haemophilus] ducreyi	730	species	10121291	3	3	0.0
Histophilus somni	731	species	2138367	4	4	0.0
[Haemophilus] parasuis	738	species	4546750	1	1	0.0
Pasteurella	745	genus	0	21	0	0.0
Pasteurella multocida	747	species	2546987	22	4	0
Gallibacterium anatis	750	species	2694139	1	1	0.0
Coxiella burnetii	777	species	2076694	2	0	0.0
Bacteroides fragilis	817	species	7824806	14	14	0.0
Fibrobacter succinogenes	833	species	7685639	1	1	0.0
Dichelobacter nodosus	870	species	1389350	1	0	0.0
Desulfobulbus propionicus	894	species	3851869	1	0	0.0
Megasphaera elsdenii	907	species	2504349	1	1	0.0
Francisella persica	954	species	3057444	1	0	0.0
Halanaerobiaceae	972	family	0	1	0	0.0
Halorhodospira halophila	1053	species	2678452	5	4	0.0
Rhodobacter capsulatus	1061	species	3871920	1	1	0.0
Chloroflexus	1107	genus	0	1	0	0.0
Oscillatoriales	1150	order	0	1	0	0.0
Nitrosococcus oceani	1229	species	3522111	2	0	0.0
Gammaproteobacteria	1236	class	0	2	0	0.0
Piscirickettsia salmonis	1238	species	10317144	1	1	0.0
Leuconostoc gelidum	1244	species	1966103	13	11	0.0
Staphylococcus aureus	1280	species	7252422	3	3	0.0
Streptococcus suis	1307	species	2683756	4	3	0.0
Streptococcus pneumoniae	1313	species	2272871	5	5	0.0
Streptococcus intermedius	1338	species	1963517	1	1	0.0
Enterococcus faecalis	1351	species	3401628	19	19	0.0
Enterococcus faecium	1352	species	5898717	1	0	0.0
Enterococcus gallinarum	1353	species	3821349	26	23	0.0
Enterococcus hirae	1354	species	2908247	1	0	0.0
Lactococcus lactis	1358	species	2704731	1	1	0.0
Bacillus anthracis	1392	species	17446789	2	2	0.0
Bacillus cereus	1396	species	9676532	7	4	0.0
Bacillus mycoides	1405	species	11312355	1	1	0.0
Clostridium botulinum	1491	species	4637504	7	7	0.0
Clostridium beijerinckii	1520	species	6161692	13	11	0.0
Moorella thermoacetica	1525	species	5377887	1	0	0.0
Clostridium novyi	1542	species	2547720	1	1	0.0
Propionibacterium freudenreichii	1744	species	2646865	1	0	0.0
Mycobacterium	1763	genus	0	1	0	0.0
Mycobacterium marinum	1781	species	6555333	1	0	0.0
Mycobacterium chubuense	1800	species	6342624	1	1	0.0
Saccharomonospora viridis	1852	species	4308349	1	0	0.0
Frankia alni	1859	species	7497934	5	3	0.0
Kitasatospora setae	2066	species	8783278	2	2	0.0
Mycoplasma gallisepticum	2096	species	968554	1	0	0.0
Mycoplasma genitalium	2097	species	579782	2	0	0.0
Mycoplasma mycoides	2102	species	2100167	26	1	0
Mycoplasma pneumoniae	2104	species	954052	2	0	0.0
Mycoplasma leachii	2105	species	1008951	1	1	0.0
Desulfobacterium autotrophicum	2296	species	5657782	62	62	4.53895e-05
Thermotoga	2335	genus	0	1	1	0.0
Thermotoga maritima	2336	species	5599391	1	0	0.0
Thermotoga neapolitana	2337	species	1884562	1	0	0.0
Fervidobacterium islandicum	2423	species	2237377	1	0	0.0
Teredinibacter turnerae	2426	species	5193164	1	1	0.0
Hirschia baltica	2724	species	3540114	1	1	0.0
Marinobacter hydrocarbonoclasticus	2743	species	4384621	1	0	0.0
Halomonas elongata	2746	species	4061296	2	2	0.0
Homo sapiens	9606	species	3238442024	192	126	0.0
Myoviridae	10662	family	153908	89	0	0.0
Siphoviridae	10699	family	47340	18	0	0.0
Escherichia virus Lambda	10710	species	48502	14	0	3.87106e-20
Escherichia virus HK022	10742	species	40751	17	8	0.0
Podoviridae	10744	family	65210	3	0	0.0
Shigella phage Sf6	10761	species	39043	138	23	0.00177169
Staphylococcus lugdunensis	28035	species	3479969	5	5	0.0
Rubrivivax gelatinosus	28068	species	5043253	1	1	0.0
Cronobacter sakazakii	28141	species	5648091	119	88	7.73745e-06
Serratia proteamaculans	28151	species	5495657	2	0	0.0
Vibrio nigripulchritudo	28173	species	6322155	6	6	0.0
Acetohalobium arabaticum	28187	species	2469596	1	0	0.0
Mycoplasma penetrans	28227	species	1358633	1	1	0.0
Colwellia psychrerythraea	28229	species	5373180	1	0	0.0
Clavibacter michiganensis	28447	species	3302478	1	0	0.0
Salmonella enterica	28901	species	6689149	11281	1502	0.000572682
Streptomyces cattleya	29303	species	16188068	1	1	0.0
Cellulosilyticum lentocellum	29360	species	4714237	1	1	0.0
Microlunatus phosphovorus	29405	species	5683123	1	0	0.0
Rhizobium etli	29449	species	6784960	5	4	0.0
Pectobacterium atrosepticum	29471	species	7546597	1	0	0.0
Yersinia frederiksenii	29484	species	4550894	2	2	0.0
Yersinia ruckeri	29486	species	7304941	3	1	0.0
Photorhabdus luminescens	29488	species	5688987	7	2	0.0
Pelobacter propionicus	29543	species	4241119	4	0	0.0
Amycolatopsis orientalis	31958	species	9236541	6	3	0.0
Rhodobacteraceae	31989	family	0	2	0	0.0
Chloroflexales	32064	order	0	1	0	0.0
synthetic construct	32630	species	26537524	3672	252	8.96007e-05
Thauera	33057	genus	0	2	0	0.0
Amycolatopsis mediterranei	33910	species	13655759	3	0	0.0
Rhodospirillum centenum	34018	species	4355543	1	1	0.0
Rahnella aquatilis	34038	species	5656799	5	3	0.0
Riemerella anatipestifer	34085	species	2813253	1	0	0.0
Geobacter sulfurreducens	35554	species	3764200	1	0	0.0
Citrobacter amalonaticus	35703	species	7931914	73	21	5.47772e-06
Desulfitobacterium dehalogenans	36854	species	4321753	1	0	0.0
Nocardia brasiliensis	37326	species	9436348	1	0	0.0
Escherichia virus HK97	37554	species	39732	41	18	0.00126259
Dialister pneumosintes	39950	species	1274073	2	2	0.0
Acinetobacter johnsonii	40214	species	4081329	24	0	0
Xenorhabdus bovienii	40576	species	4523083	1	0	0.0
Xenorhabdus poinarii	40577	species	3659523	4	2	0.0
Sphingomonadaceae	41297	family	0	2	0	0.0
Halobacteroides halobius	42422	species	2649255	1	0	0.0
Syntrophus	43773	genus	0	1	0	0.0
Ferrimonas balearica	44012	species	4279159	1	1	0.0
Moorella	44260	genus	0	1	0	0.0
Psychrobacter urativorans	45610	species	2931580	1	1	0.0
Vibrio scophthalmi	45658	species	9728927	1	1	0.0
Desulfohalobium retbaense	45663	species	2909567	1	0	0.0
Bibersteinia trehalosi	47735	species	2411529	36	4	0
Streptomyces lydicus	47763	species	8750753	1	0	0.0
Micromonospora aurantiaca	47850	species	7025559	1	0	0.0
Acinetobacter pittii	48296	species	6018266	22	0	0
Desulfitobacterium hafniense	49338	species	5503334	1	0	0.0
Wigglesworthia glossinidia	51229	species	711269	1	0	0.0
Brachyspira pilosicoli	52584	species	2635825	1	0	0.0
Pantoea	53335	genus	0	175	0	0.0
Hyphomicrobium denitrificans	53399	species	3723828	1	1	0.0
Halobacteroidaceae	53434	family	0	1	0	0.0
Lactobacillus lindneri	53444	species	2842174	1	1	0.0
Raoultella ornithinolytica	54291	species	13911666	60	44	0
Salmonella bongori	54736	species	4542714	81	44	0
Pectobacterium wasabiae	55208	species	5043228	11	1	0.0
Magnetospirillum gryphiswaldense	55518	species	4365796	1	0	0.0
Vibrio anguillarum	55601	species	5628663	1	1	0.0
Enterobacteria phage SfV	55884	species	37074	349	64	0.00958521
Shewanella frigidimarina	56812	species	4845257	1	1	0.0
Colwellia sp. MT41	58049	species	4337945	1	0	0.0
Chryseobacterium	59732	genus	0	1	0	0.0
Desulfobacca acetoxidans	60893	species	3282536	1	0	0.0
Dehalococcoides mccartyi	61435	species	1417114	1	1	0.0
Enterobacter asburiae	61645	species	6470569	24	12	6.90453e-06
Lelliottia amnigena	61646	species	4616371	8	2	0.0
Pluralibacter gergoviae	61647	species	5489680	10	2	0
Kluyvera intermedia	61648	species	6166452	533	184	7.27235e-06
Shewanella baltica	62322	species	5379488	3	2	0.0
Sodalis glossinidius	63612	species	4292502	6	2	0.0
Desulfurobacterium thermolithotrophum	64160	species	1541968	1	0	0.0
Halothece sp. PCC 7418	65093	species	4179170	1	0	0.0
Mycoplasma wenyonii	65123	species	650228	1	1	0.0
Desulfocapsa sulfexigens	65555	species	4023512	2	1	0.0
Lachnoclostridium phytofermentans	66219	species	4847594	3	3	0.0
Shigella phage SfII	66284	species	41475	316	72	0.016964
Methanocaldococcus infernus	67760	species	1328194	1	0	0.0
Edwardsiella ictaluri	67780	species	3812301	4	1	0.0
Citrobacter rodentium	67825	species	5444283	78	33	0
Actinobacillus succinogenes	67854	species	2319663	2	2	0.0
Streptomyces violaceusniger	68280	species	11138313	1	1	0.0
Pseudomonas sp. VLB120	69328	species	5966222	1	0	0.0
Pseudomonadales	72274	order	0	24	0	0.0
Photobacterium profundum	74109	species	6403280	2	1	0.0
Pseudomonas balearica	74829	species	4383480	1	0	0.0
Pseudomonas mandelii	75612	species	7188564	6	0	0.0
Rhodocyclaceae	75787	family	0	24	0	0.0
Mannheimia haemolytica	75985	species	2934797	1	1	0.0
Pseudomonas monteilii	76759	species	5553188	1	1	0.0
Erwinia pyrifoliae	79967	species	4072846	5	2	0.0
Moritella viscosa	80854	species	5093989	1	0	0.0
Comamonadaceae	80864	family	0	7	0	0.0
Hyphomonas neptunium	81032	species	3705021	1	0	0.0
Frateuria aurantia	81475	species	3603458	2	0	0.0
Enterococcaceae	81852	family	0	1	0	0.0
Obesumbacterium	82982	genus	0	54	0	0.0
Obesumbacterium proteus	82983	species	5011796	23	3	0
Pragia fontium	82985	species	4094629	1	1	0.0
Serratia plymuthica	82996	species	6554843	4	2	0.0
Myxococcus stipitatus	83455	species	10350586	2	0	0.0
Leclercia adecarboxylata	83655	species	4803917	3	0	0
Magnetospirillum magneticum	84159	species	4967148	1	0	0.0
Cryptobacterium curtum	84163	species	1617804	1	0	0.0
Brachyspira intermedia	84377	species	3308048	1	0	0.0
Brachyspira murdochii	84378	species	3241804	1	0	0.0
Aeromonadaceae	84642	family	0	128	0	0.0
Desulfotalea psychrophila	84980	species	3659634	2	1	0.0
Corynebacteriales	85007	order	0	2	0	0.0
endosymbiont of Acanthamoeba sp. UWC8	86106	species	1615277	1	0	0.0
Enterobacterales	91347	order	0	219	0	0.0
Pandoraea pnomenusa	93220	species	11008666	1	0	0.0
Edwardsiella hoshinae	93378	species	3811650	72	14	1.19044e-05
Fervidobacterium pennivorans	93466	species	2114116	1	0	0.0
Thermotoga naphthophila	93930	species	1809823	1	0	0.0
Shewanella sp. ANA-3	94122	species	5251146	13	1	0.0
Legionella fallonii	96230	species	4434890	1	0	0.0
Enterobacteria phage VT2-Sakai	97081	leaf	60942	2	0	0.0
Halobacteriovorax marinus	97084	species	3437906	1	1	0.0
Bacillus sp. OxB-1	98228	species	3594618	1	0	0.0
Candidatus Blochmannia pennsylvanicus	101534	species	791654	2	0	0
Thioalkalivibrio versutus	106634	species	2969361	1	1	0.0
Candidatus Carsonella ruddii	114186	species	157543	1	1	0.0
Roseiflexus castenholzii	120962	species	5723298	1	0	0.0
Pectobacterium	122277	genus	0	3	0	0.0
Thermotoga sp. RQ7	126738	species	1851618	1	0	0.0
Carboxydothermus	129957	genus	0	1	0	0.0
Nitrosococcus halophilus	133539	species	4145260	4	0	0.0
secondary endosymbiont of Heteropsylla cubana	134287	species	1121596	3	1	0.0
Pseudomonadaceae	135621	family	0	193	0	0.0
Vibrio antiquarius	150340	species	5089025	1	1	0.0
Cellvibrio japonicus	155077	species	4576573	1	1	0.0
Salmonella phage HK620	155148	species	38297	59	7	0.00170861
Corynebacterium imitans	156978	species	2565321	1	0	0.0
Chromohalobacter salexigens	158080	species	3696649	1	1	0.0
Hahella chejuensis	158327	species	7215267	3	2	0.0
Cedecea neteri	158822	species	23867322	16	2	0.0
Enterobacter hormaechei	158836	species	11766809	1083	165	0
Sphingomonas wittichii	160791	species	5915246	1	1	0.0
Corynebacterium singulare	161899	species	2830519	1	0	0.0
uncultured Termite group 1 bacterium	167965	species	1148570	1	1	0.0
Candidatus Ishikawaella capsulata	168169	species	754729	6	3	0.0
Laribacter hongkongensis	168471	species	3169329	2	1	0.0
Salinispora tropica	168695	species	5183331	2	0	0.0
Salinispora arenicola	168697	species	5786361	1	0	0.0
Elizabethkingia miricola	172045	species	4242519	1	0	0.0
Salmonella phage ST64B	175950	species	40149	1	0	0.0
Erwinia billingiae	182337	species	5372268	3	2	0.0
Corallococcus coralloides	184914	species	10080619	1	1	0.0
Candidatus Baumannia cicadellinicola	186490	species	1040878	4	3	0.0
Lambdavirus	186765	genus	0	192	0	0.0
P1virus	186789	genus	0	110	0	0.0
P22virus	186794	genus	0	32	0	0.0
Clostridiales	186802	order	0	1	0	0.0
Alicyclobacillaceae	186823	family	0	1	0	0.0
Methylocystis sp. SC2	187303	species	3773444	1	1	0.0
Thalassolituus oleivorans	187493	species	3842190	1	1	0.0
Thermodesulfobacteriaceae	188711	family	0	1	0	0.0
Thermaceae	188786	family	0	1	0	0.0
Oleispira antarctica	188908	species	4406383	1	0	0.0
Fluviicola taffensis	191579	species	4633577	1	0	0.0
Shewanella denitrificans	192073	species	4545906	1	0	0.0
Escherichia Stx1 converting phage	194948	leaf	59866	19	0	0
Stx2 converting phage II	194949	leaf	62706	2	0	0.0
Enterobacteria phage BP-4795	196242	species	57930	21	1	4.09672e-41
Candidatus Pelagibacter ubique	198252	species	1308759	1	1	0.0
Candidatus Blochmannia	203804	genus	0	1	0	0.0
Candidatus Blochmannia floridanus	203907	species	705557	3	1	0.0
Parvularcula bermudensis	208216	species	2902643	1	0	0.0
Enterobacter kobei	208224	species	4927478	5	2	0.0
Escherichia albertii	208962	species	4679521	2106	324	0.000453943
Vibrio tasmaniensis	212663	species	4974818	1	1	0.0
Erwinia sp. Ejp617	215689	species	3957675	8	2	0.0
Treponema putidum	221027	species	2800562	1	0	0.0
Methylobacterium populi	223967	species	5848997	1	0	0.0
Hydrogenothermaceae	224027	family	0	1	0	0.0
Geobacter bemidjiensis	225194	species	4615150	1	1	0.0
Thermovibrio ammonificans	228745	species	1759526	1	0	0.0
Desulfitobacterium dichloroeliminans	233055	species	3624449	1	0	0.0
Candidatus Midichloria mitochondrii	234827	species	1183732	1	0	0.0
Klebsiella variicola	244366	species	10894097	9	1	0.0
Nautilia profundicola	244787	species	1676444	1	1	0.0
Candidatus Blochmannia vafer	251535	species	722585	3	0	0
Candidatus Blochmannia chromaiodes	251542	species	791219	2	0	0
Paraburkholderia phenoliruptrix	252970	species	7651131	1	1	0.0
Ethanoligenens harbinense	253239	species	3008576	2	2	0.0
Psychrobacter alimentarius	261164	species	3349444	1	1	0.0
Mycobacterium liflandii	261524	species	6399543	1	0	0.0
Agarivorans	261825	genus	0	1	0	0.0
Yersinia aleksiciae	263819	species	4000307	1	0	0.0
Methylovorus glucosotrophus	266009	species	3082007	1	0	0.0
Shewanellaceae	267890	family	0	91	0	0.0
Methylomicrobium alcaliphilum	271065	species	4796711	1	1	0.0
Sphaerochaeta coccoides	273376	species	2227296	1	0	0.0
Chlorobaculum limnaeum	274537	species	2797276	1	1	0.0
Candidatus Amoebophilus asiaticus	281120	species	1884364	1	0	0.0
Photorhabdus asymbiotica	291112	species	5094138	8	6	0.0
Thermosediminibacter oceani	291990	species	2280035	1	1	0.0
Dactylococcopsis salina	292566	species	3781008	1	0	0.0
Enterobacter ludwigii	299767	species	4952770	44	29	2.42769e-108
Glaciecola nitratireducens	300231	species	4134229	2	0	0.0
Persephonella marina	309805	species	1983966	1	0	0.0
Sulfurihydrogenibium azorense	309806	species	1640877	1	0	0.0
Dokdonia sp. MED134	313590	species	3302548	1	0	0.0
Psychromonas sp. CNPT3	314282	species	3052410	2	1	0.0
Syntrophus aciditrophicus	316277	species	3179300	1	0	0.0
Synechococcus sp. JA-3-3Ab	321327	species	2932766	2	1	0.0
Coxiella endosymbiont of Amblyomma americanum	325775	species	656901	4	2	0.0
Paraglaciecola psychrophila	326544	species	5413691	2	0	0.0
Trueperaceae	332247	family	0	1	0	0.0
Actinoalloteichus hymeniacidonis	340345	species	6306386	1	1	0.0
Xenorhabdus doucetiae	351671	species	4203651	8	6	0.0
Psychromonas ingrahamii	357794	species	4559598	1	0	0.0
Roseiflexus sp. RS-1	357808	species	5801598	1	0	0.0
Shewanella loihica	359303	species	4602594	1	1	0.0
Verminephrobacter eiseniae	364317	species	5597943	7	6	0.0
Yersinia similis	367190	species	4964409	1	1	0.0
Gallionella capsiferriformans	370405	species	3162471	2	1	0.0
Isoptericola dokdonensis	372663	species	3826972	1	1	0.0
Enterobacteria phage 933W sensu lato	374810	species	61042	23	0	0.0
Halotalea alkalilenta	376489	species	4387428	1	0	0.0
Stx2-converting phage 86	379329	species	60238	147	31	0.00145297
Echinicola vietnamensis	390884	species	5608040	1	0	0.0
Coraliomargarita akajimensis	395922	species	3750771	1	0	0.0
Enterobacter sp. 638	399742	species	4676461	1	0	0.0
Anaeromyxobacter sp. Fw109-5	404589	species	5277990	1	0	0.0
Streptomyces xiamenensis	408015	species	5961401	1	0	0.0
Treponema pedis	409322	species	2889325	1	0	0.0
Thermosulfidibacter	412592	genus	0	1	0	0.0
Thermosulfidibacter takaii	412593	species	1816670	1	0	0.0
Cronobacter	413496	genus	0	2	0	0.0
Cronobacter dublinensis	413497	species	4628405	7	0	0.0
Cronobacter muytjensii	413501	species	4364114	33	4	0
Cronobacter turicensis	413502	species	4599092	157	137	0.0
Cronobacter malonaticus	413503	species	4516853	3	0	0
Enterobacteria phage cdtI	414970	species	47021	340	115	0.012136
Elusimicrobium minutum	423605	species	1643562	1	1	0.0
Rhizobium sp. IRBG74	424182	species	5464982	3	0	0
Desulfurivibrio alkaliphilus	427923	species	3097763	1	0	0.0
Enterobacteria phage HK106	432198	species	41468	38	5	0
Enterobacteria phage HK542	432200	species	38964	15	0	0
Enterobacteria phage HK544	432201	species	40155	24	2	0
Streptomyces sp. CNQ-509	444103	species	8039333	4	4	0.0
Simiduia agarivorans	447471	species	4300227	1	1	0.0
Desulfarculus baarsii	453230	species	3655731	2	1	0.0
Ilumatobacter coccineus	467094	species	4830181	2	0	0.0
Pantoea vagans	470934	species	4888338	1	0	0.0
Nitrosococcus watsonii	473531	species	3373286	2	0	0.0
Bibersteinia	476528	genus	0	23	0	0.0
Serratia sp. SCBI	488142	species	5101896	1	0	0.0
Enterobacteria phage Min27	489779	leaf	63395	11	0	0
Marinobacter sp. BSs20148	490759	species	4063864	1	0	0.0
Kosakonia oryzae	497725	species	5303342	18	3	0
Halomonas chromatireducens	507626	species	3973651	3	0	0.0
Oceanimonas sp. GK1	511062	species	3527244	6	4	0.0
Dictyoglomus turgidum	513050	species	1855560	1	0	0.0
Muricauda lutaonensis	516051	species	3274259	1	0	0.0
Flavobacteriaceae bacterium 3519-10	531844	species	2768102	1	0	0.0
Cronobacter universalis	535744	species	4436873	3	1	0.0
Aromatoleum aromaticum	551760	species	4727255	1	0	0.0
Dehalogenimonas lykanthroporepellens	552810	species	1686510	1	0	0.0
Stx2-converting phage 1717	563769	species	62147	31	9	9.54236e-139
Enterobacteria phage YYZ-2008	564886	species	54896	27	1	0
Photorhabdus temperata	574560	species	5147098	4	1	0.0
Escherichia phage wV8	576791	species	88487	16	16	0.0
Salmonella phage g341c	590739	species	40975	1	0	0
Pantoea sp. At-9b	592316	species	6312783	4	3	0.0
Allofrancisella guangzhouensis	594679	species	1661527	1	0	0.0
Bifidobacterium kashiwanohense	630129	species	2354106	1	1	0.0
Arsenophonus symbiont of Lipoptena fortisetosa	634113	species	836724	9	8	0.0
Micromonospora sp. L5	648999	species	6962533	1	0	0.0
Kosmotoga	651456	genus	0	1	0	0.0
Kosmotoga olearia	651457	species	2302126	1	1	0.0
Bacillus sp. 1NLA3E	666686	species	4815602	2	1	0.0
Agarivorans gilvus	680279	species	4416600	1	0	0.0
Geobacillus sp. C56-T3	691437	species	3650813	1	1	0.0
Enterobacteriaceae bacterium strain FGI 57	693444	species	4762179	107	7	9.07351e-06
Rahnella sp. Y9602	741091	species	5614252	1	0	0.0
Azoarcus sp. KH32C	748247	species	5818755	1	0	0.0
Methylophaga frappieri	754477	species	2745290	1	1	0.0
Serratia sp. AS12	768490	species	5443009	2	0	0
Serratia sp. AS13	768493	species	5442549	1	0	0
Stx2 converting phage vB_EcoP_24B	866553	leaf	57677	29	0	0
Mageeibacillus indolicus	884684	species	1809746	1	1	0.0
Methylovorus sp. MP688	887061	species	2862391	1	0	0.0
Plautia stali symbiont	891974	species	4092852	9	7	0.0
Escherichia phage HK75	906668	species	36661	3	0	1.26382e-57
Kangiella geojedonensis	914150	species	2495242	6	6	0.0
Methylobacterium sp. AMS5	925818	species	5599206	1	0	0.0
Pseudomonas brassicacearum	930166	species	13594158	1	1	0.0
Enterobacteria phage VT2phi_272	936054	species	65955	1	0	0
Desulfurispirillum indicum	936456	species	2928377	2	2	0.0
Lacinutrix sp. 5H-3-7-4	983544	species	3296168	1	1	0.0
Glaciecola sp. 4H-3-7+YE-5	983545	species	5393591	2	0	0.0
Candidatus Pelagibacter sp. IMCC9063	1002672	species	1284727	1	0	0.0
Verrucosispora maris	1003110	species	6732271	2	0	0.0
Thioalkalivibrio sulfidiphilus	1033854	species	3464554	2	0	0.0
Candidatus Moranella endobia	1048758	species	538248	5	1	0.0
Candidatus Gullanella endobia	1070130	species	938041	6	3	0.0
Pantoea rwandensis	1076550	species	4327607	2	2	0.0
Enterobacteria phage IME10	1090133	species	39646	30	22	0
Vibrio sp. EJY3	1116375	species	5452646	1	0	0.0
Elizabethkingia anophelis	1117645	species	7985304	1	0	0.0
Magnetococcus marinus	1124597	species	4719581	1	1	0.0
Escherichia phage TL-2011b	1124654	species	44784	63	12	0.00299994
Escherichia phage TL-2011c	1124655	species	60523	2	0	0.0
Sphaerochaeta globosa	1131703	species	3316466	1	0	0.0
Sphaerochaeta pleomorpha	1131707	species	3590853	1	0	0.0
Klebsiella michiganensis	1134687	species	29869212	155	25	0
Enterobacteria phage HK140	1147143	species	40710	32	7	1.41118e-33
Enterobacteria phage HK446	1147145	species	39026	11	9	0.0
Enterobacteria phage HK630	1147146	species	47090	17	0	7.24375e-13
Enterobacteria phage HK633	1147147	species	41528	48	14	2.0339e-80
Enterobacteria phage HK629	1147148	species	47288	7	0	1.83682e-58
Enterobacteria phage mEp043 c-1	1147149	species	42780	107	42	0.00330007
Enterobacteria phage mEp235	1147150	species	37595	38	13	0
Enterobacteria phage mEp460	1147152	species	44510	149	25	0
Enterobacteria phage mEpX1	1147153	species	41567	12	1	0.00119565
Enterobacteria phage mEpX2	1147154	species	38759	68	50	0.00259484
